University system,Abbreviation,Member,Vietnamese name,School,Location,English name,Organization,Name,Country of origin,Type of operation
,YU,,Trường Đại học Yersin Đà Lạt,,,Yersin University,,,,
,EILAU,,Trường Đại học Kinh tế Công nghiệp Long An,,,Long An University of Economics and Industry,,,,
,TTU,,Trường Đại học Tân Tạo,,,Tan Tao University,,,,
,LTVU,,Trường Đại học Lương Thế Vinh,,,Luong The Vinh University,,,,
,VXUT,,Trường Đại học Công nghệ Vạn Xuân,,,Van Xuan University of Technology,,,,
,IUV,,Trường Đại học Công nghiệp Vinh,,,Industrial University of Vinh,,,,
,PCTU,,Trường Đại học Phan Châu Trinh,,,Phan Chau Trinh University,,,,
,TUETECH,,Trường Đại học Kinh tế – Công nghệ Thái Nguyên,,,TUETECH University,,,,
,PXU,,Trường Đại học Phú Xuân,,,Phu Xuan University,,,,
,CLU,,Trường Đại học Cửu Long,,,Cuu Long University,,,,
,PVNU,,Trường Đại học Thái Bình Dương,,,Pacific Vietnam University,,,,
,TVU,,Trường Đại học Trưng Vương,,,Trung Vuong University,,,,
,,,,,Hanoi,,,RMIT University Vietnam,Australia,Independent branch of international university.
,,,,,Ho Chi Minh City,,,RMIT University Vietnam,Australia,Independent branch of international university.
,,,,,Hanoi,,,"Swinburne University of Technology, Vietnam Campus",Australia,Branch of international university affiliated with FPT Corporation.
,,,,,Da Nang,,,"Swinburne University of Technology, Vietnam Campus",Australia,Branch of international university affiliated with FPT Corporation.
,,,,,Ho Chi Minh City,,,"Swinburne University of Technology, Vietnam Campus",Australia,Branch of international university affiliated with FPT Corporation.
,,,,,Hưng Yên,,,British University Vietnam,United Kingdom,Cooperated by University of London and University of Staffordshire.
,,,,,Hanoi,,,Fulbright University Vietnam,United States,Public and non-profit university completely operated by the United States government.
,,,,,Ho Chi Minh City,,,Fulbright University Vietnam,United States,Public and non-profit university completely operated by the United States government.
,,,,,Ho Chi Minh City,,,"Western Sydney University, Vietnam Campus",Australia,Branch of international university affiliated with University of Economics Ho Chi Minh City.
,,,,,Hanoi,,,University of Greenwich Vietnam,United Kingdom,Branch of international university affiliated with FPT Corporation.
,,,,,Da Nang,,,University of Greenwich Vietnam,United Kingdom,Branch of international university affiliated with FPT Corporation.
,,,,,Ho Chi Minh City,,,University of Greenwich Vietnam,United Kingdom,Branch of international university affiliated with FPT Corporation.
,,,,,Cần Thơ,,,University of Greenwich Vietnam,United Kingdom,Branch of international university affiliated with FPT Corporation.
